source	preferred_english	notes	context
yaar	dude|man|buddy	Use "dude" for young male; "man" neutral; "buddy" friendly	casual
bhai	bro|brother	Use "bro" in casual banter; "brother" formal	casual/formal
ji	sir|ma'am|	Honorific suffix; "sir" for males, "ma'am" for females, omit if repetitive	honorific
acha	well|okay|I see	Discourse marker; "well" for transitions, "okay" for agreement, "I see" for understanding	discourse
arey	hey|hey there|oh	Exclamation; keep if emphatic, "hey" casual, "oh" surprise	exclamation
yeh	this|that	Context-dependent; usually "this"	demonstrative
woh	that|he|she	Context-dependent; "that" for objects, pronouns for people	demonstrative
bas	just|enough|that's it	"just" for limitation, "enough" for stopping, "that's it" for finality	multiple
abey	hey you|dude	Informal/rude; "hey you" neutral, "dude" friendlier	informal
arre	hey|wait	Attention-getting; "hey" for calling, "wait" for pausing	exclamation
kya	what|really	Question word or exclamation; "what" for questions, "really" for emphasis	question/exclamation
matlab	I mean|meaning	Clarification marker; usually "I mean"	discourse
theek hai	okay|fine|alright	Agreement; "okay" casual, "fine" resigned, "alright" accepting	agreement
chalo	let's go|come on|alright	Movement or transition; context-dependent	movement
arre yaar	oh dude|hey man|oh man	Combined exclamation; very casual	casual
suno	listen|hey	Attention-getting; "listen" for important, "hey" casual	attention
dekho	look|see	Visual attention; "look" for pointing, "see" for understanding	visual
shabash	well done|bravo|good job	Praise; "well done" formal, "bravo" enthusiastic, "good job" casual	praise
waah	wow|amazing|bravo	Appreciation; all options convey admiration	appreciation
oho	oh|oops|uh-oh	Reaction; "oh" surprise, "oops" mistake, "uh-oh" concern	reaction
chal	go|come on|okay	Movement or agreement; very context-dependent	movement/agreement
beta	son|child|dear	Term of endearment or addressing youth; "son" male, "child" neutral, "dear" affectionate	endearment
bete	son	Vocative case of beta	endearment
beti	daughter|dear	Female equivalent of beta	endearment
uncle	uncle|sir	Respectful address for older men; can keep as "uncle"	respect
aunty	aunt|ma'am	Respectful address for older women; can keep as "aunty"	respect
didi	sister|ma'am	Respectful for older female; "sister" literal, "ma'am" respectful	respect
bhaiya	brother|sir	Respectful for older male; "brother" literal, "sir" respectful	respect
jugaad	makeshift fix|workaround|hack	Creative solution; "makeshift fix" literal, "workaround" tech, "hack" casual	slang
timepass	killing time|pastime|hanging out	Casual activity; context-dependent	slang
bakwas	nonsense|rubbish|bullshit	Dismissive; "nonsense" mild, "rubbish" moderate, "bullshit" strong	slang
pagal	crazy|mad|insane	Mental state; "crazy" casual, "mad" moderate, "insane" strong	slang
drama	drama|fuss|scene	Exaggeration; can keep as "drama" or use alternatives	slang
tension	stress|worry|problem	Concern; "stress" modern, "worry" emotional, "problem" practical	slang
paisa	money|cash|bucks	Currency; "money" formal, "cash" casual, "bucks" very casual	slang
mast	cool|awesome|great	Positive; "cool" casual, "awesome" enthusiastic, "great" moderate	slang
bindaas	carefree|cool|confident	Attitude; "carefree" literal, "cool" casual, "confident" strong	slang
fundoo	smart|clever|genius	Intelligence; "smart" moderate, "clever" cunning, "genius" extreme	slang
pakka	sure|certain|definitely	Certainty; "sure" casual, "certain" formal, "definitely" emphatic	affirmation
pucca	solid|genuine|proper	Quality; "solid" reliable, "genuine" authentic, "proper" correct	quality
arrey	hey|oh|wait	Variant of "arre"	exclamation
haan	yes|yeah|yup	Agreement; "yes" formal, "yeah" casual, "yup" very casual	agreement
nahi	no|nope|nah	Disagreement; "no" formal, "nope" casual, "nah" very casual	disagreement
nahin	no|not	Formal "no" or negation	disagreement
koi baat nahi	no problem|no worries|it's okay	Reassurance; all convey forgiveness	reassurance
sahi	right|correct|true	Agreement; "right" casual, "correct" formal, "true" factual	agreement
bilkul	absolutely|exactly|completely	Strong agreement; all are emphatic	agreement
ekdum	totally|completely|very	Intensifier; "totally" casual, "completely" formal, "very" moderate	intensifier
full	totally|completely|very	Borrowed English intensifier	intensifier
scene	situation|thing|matter	Context; "situation" formal, "thing" casual, "matter" serious	slang
kya scene hai	what's up|what's going on|what's the deal	Casual inquiry	casual
apun	I|me|we	Mumbai slang for first person	mumbai-slang
bhidu	friend|buddy|dude	Mumbai slang for friend	mumbai-slang
tapori	street-smart guy|hustler|local	Mumbai street culture	mumbai-slang
